company_name,sector,revenue,ebitda,ebitda_margin,net_profit_margin,debt_to_equity,interest_coverage,current_ratio,quick_ratio,roa,roe,operating_cash_flow,total_debt,dscr,promoter_holding,company_age,market_cap,external_macro_risk_flag,qualitative_risk_score,credit_rating
Vivek Engineering,FMCG,10.0,15449.97,27.2,21.14,0.37,3.27,1.7,1.16,13.21,7.13,8309.86,39109.55,3.81,66.96,17.37,3880.63,0,2.6,AA
Deccan Infra,Real Estate,8516.37,305.48,10.4,0.56,2.51,4.18,1.27,0.67,-0.8,1.95,1732.92,5708.08,1.09,51.17,29.86,6802.48,0,6.6,BB-
Nav Power,Banking & Financial Services,2117.09,199.16,6.65,1.56,4.21,1.22,1.13,0.44,1.79,0.11,318.64,17508.12,0.81,71.11,20.57,5943.11,0,8.9,B
Shri Infra,Banking & Financial Services,10.0,48.11,-25.93,-29.51,8.68,-0.38,0.23,0.15,-11.61,-31.86,-172.98,25179.64,0.16,10.65,10.0,286.16,0,9.9,D
Laxmi Power,Banking & Financial Services,10260.11,829.47,17.94,1.79,1.73,2.51,1.37,1.06,3.64,10.15,400.94,25180.82,1.47,63.18,10.0,2556.9,1,4.4,BB
Aarav Capital,Steel & Metals,10460.03,2047.84,7.69,2.71,1.16,1.58,1.03,0.66,1.89,6.19,630.14,34741.32,1.08,46.82,13.38,4462.43,0,5.2,BB
Prem Polymers,Media & Entertainment,2930.02,3367.39,20.38,2.64,0.98,1.86,1.32,1.27,4.11,10.86,5119.41,25494.81,1.42,49.91,15.72,26307.23,1,3.9,BBB
Saraswati Exports,Real Estate,8875.75,1105.94,12.18,6.49,2.09,1.76,1.38,0.63,1.02,-2.59,757.92,7784.54,1.32,14.4,12.82,10821.62,0,6.8,BB
Arun Polymers,Chemicals,36074.44,13770.34,28.57,19.81,0.52,7.56,1.97,1.85,7.94,17.29,8684.7,20759.66,2.79,39.48,49.81,157847.89,0,2.8,AA
Aarav Steel,Pharmaceuticals,25831.83,4191.82,12.92,5.17,1.23,3.8,1.43,0.95,2.83,12.27,3347.54,22409.87,1.86,68.15,17.76,39221.53,0,5.9,BBB+
Deccan Limited,Media & Entertainment,27333.68,2413.9,23.3,9.41,0.85,3.05,1.74,1.23,2.88,10.58,2866.34,13908.74,2.98,50.8,23.38,37862.77,0,5.8,BBB+
Vindhya Steel,Automobile,10.0,241.22,9.2,5.71,1.88,0.56,1.01,0.51,0.6,6.51,36.77,10.0,0.47,35.15,10.0,2257.1,1,8.8,B+
Param Infra,Aviation,68972.57,2738.11,21.28,8.16,0.71,9.61,1.61,1.2,5.64,19.58,-7053.07,21358.04,2.76,44.07,42.36,86060.82,0,5.2,A-
Aarav Foods,Banking & Financial Services,4381.34,13298.84,20.75,9.99,0.68,5.93,1.88,0.98,7.42,11.92,1139.8,15740.32,1.88,46.96,37.19,53621.31,0,1.7,A
Jai Steel,Banking & Financial Services,19693.41,3012.84,19.08,10.15,1.13,3.71,1.18,1.15,1.24,13.33,2458.29,14155.26,1.68,46.09,36.97,68502.4,1,4.5,BBB
Sahyadri Ventures,IT & Technology,41336.07,10529.98,15.37,6.96,0.78,7.62,1.16,1.05,9.43,15.17,11665.09,6829.49,4.68,33.54,10.0,48232.62,0,3.5,A+
Krishna Polymers,Chemicals,48156.83,12629.58,19.95,17.73,0.44,13.31,2.11,1.21,5.94,17.31,3384.77,5800.46,4.33,40.22,63.18,109582.98,0,1.7,AA
Sahyadri Holdings,Pharmaceuticals,43758.7,7486.93,16.57,12.8,0.3,2.73,1.35,1.42,7.99,19.2,2320.04,36620.02,2.71,40.68,36.62,48019.64,0,3.5,A-
Desh Industries,Infrastructure & Construction,27668.45,6808.4,17.94,6.78,0.82,4.39,1.39,1.22,9.84,15.74,3875.43,19429.81,3.31,23.24,41.57,10.0,0,3.1,A-
Param Steel,Infrastructure & Construction,69062.23,15048.39,23.53,13.43,0.24,6.31,1.58,1.01,8.39,13.12,9477.2,10.0,2.86,41.45,27.08,59138.79,0,3.6,A+
Chanakya Steel,Chemicals,26177.91,4527.36,17.65,11.38,0.57,6.01,1.69,1.09,11.97,16.66,4469.15,30187.91,1.98,46.76,28.16,12596.18,1,3.1,A
Chanakya Polymers,Energy & Oil,23601.6,4940.76,34.8,9.35,0.18,2.8,2.1,1.77,6.3,20.12,8966.36,25157.8,2.59,54.17,42.53,61918.84,0,3.4,A
Vikram Industries,Banking & Financial Services,65662.74,8630.46,24.35,14.16,0.88,6.22,2.16,1.55,8.66,12.22,7542.24,26994.88,2.55,84.15,13.53,78755.39,0,3.6,A
Sagar Steel,Telecom,76234.58,3169.34,16.38,11.93,0.55,7.77,1.59,1.53,4.68,7.77,5084.06,4472.38,4.01,33.64,19.55,62408.6,0,2.3,A
Kiran Power,Pharmaceuticals,35399.64,996.73,14.02,7.37,1.48,4.05,1.15,0.92,4.55,13.25,397.02,44217.33,1.42,47.9,12.4,527.61,0,4.2,BBB-
Ganga Engineering,Power & Utilities,22543.37,3094.66,23.48,8.87,0.53,5.21,2.2,1.38,7.75,9.27,1429.17,8823.85,3.85,58.37,21.66,33068.85,0,2.8,A+
Raj Enterprises,Chemicals,2690.45,-186.26,7.49,-3.75,5.96,0.5,0.59,0.42,-6.05,0.15,-38.29,11836.52,0.43,48.88,10.0,2470.63,1,7.4,C
Vijay Exports,IT & Technology,1743.37,-177.78,7.61,-2.11,2.63,1.57,0.77,0.56,-0.96,1.45,972.21,18223.47,0.73,25.82,11.74,3325.13,0,7.9,B
Ashoka Foods,Chemicals,5465.53,1083.22,16.85,4.49,1.49,3.48,0.85,1.03,1.63,13.08,2052.31,42213.01,2.34,35.27,10.0,8673.48,0,6.5,BBB+
Nav Pharma,IT & Technology,29814.34,11700.38,18.57,11.28,0.79,8.21,1.92,0.93,12.06,13.83,4177.92,10.0,3.31,53.21,33.2,37915.26,0,3.2,A
Krishna Ceramics,Cement,19631.61,4278.24,13.84,10.85,1.17,2.89,1.46,0.66,5.47,6.37,650.09,10.0,1.71,67.32,22.83,29653.78,0,5.3,BBB+
Arjun Holdings,Telecom,4173.94,697.95,10.0,2.1,1.47,2.79,1.41,0.47,1.77,5.61,1159.45,27430.76,2.01,35.48,14.67,11531.42,1,6.4,BB-
Sagar Power,Pharmaceuticals,10849.62,-2243.31,15.62,7.45,1.71,3.51,1.02,0.94,0.82,7.37,3643.91,17031.91,2.26,24.4,21.58,12867.31,1,5.5,BBB-
Saraswati Capital,Infrastructure & Construction,11211.26,2433.13,8.53,8.01,1.17,1.14,1.34,0.5,3.86,7.3,1443.11,15405.56,1.22,49.13,12.7,3762.76,1,6.5,BB
Parvati Power,Pharmaceuticals,10926.86,2834.43,22.97,6.67,1.01,1.45,1.39,1.16,6.67,11.32,4220.5,28774.76,2.36,59.81,39.7,17454.6,1,5.5,BBB+
Arjun Solutions,Chemicals,22805.53,6139.99,21.41,13.84,1.45,3.77,0.98,1.08,3.89,11.63,2598.12,25660.8,1.75,59.22,10.0,22849.9,1,6.5,BBB
Himalaya Enterprises,Media & Entertainment,43175.3,15081.97,20.84,12.01,0.96,5.99,1.49,1.12,5.22,17.11,6045.57,22595.71,2.35,58.06,41.37,16084.58,0,4.3,A+
Ashoka Corporation,Textiles,1124.33,1637.99,16.47,8.86,2.24,2.57,1.71,0.33,2.3,9.55,597.63,28397.78,1.19,43.84,15.8,4864.93,0,6.7,BB+
Arun Limited,Infrastructure & Construction,30635.88,20672.43,28.92,20.4,0.27,4.9,2.2,2.76,14.8,15.78,13547.07,30731.04,2.43,71.7,39.49,94559.15,0,3.4,AA-
Arun Solutions,FMCG,7448.18,-413.94,16.61,1.87,1.08,4.92,1.57,1.26,6.24,18.23,1441.17,24777.58,1.58,59.48,23.38,45782.67,0,6.1,BBB-
Narmada Ceramics,Infrastructure & Construction,5779.42,388.64,7.17,1.78,2.78,0.9,0.76,0.55,-1.52,6.37,-170.55,10258.82,0.96,47.59,10.0,2770.38,0,7.5,B+
Saraswati Power,Chemicals,83601.87,8247.35,12.71,19.24,0.39,4.72,2.12,2.09,7.21,27.34,5972.71,23044.13,2.58,58.42,39.99,10630.37,0,2.1,AA
Arun Holdings,FMCG,10055.37,4938.07,24.07,11.38,0.72,3.76,0.84,1.23,1.73,8.59,2494.24,25340.08,1.67,66.23,31.23,29670.87,0,6.4,BBB
Arjun Power,Infrastructure & Construction,29923.37,26162.8,37.13,18.05,0.71,0.75,2.1,2.04,13.77,13.12,9237.67,10.0,4.21,39.17,58.96,170963.49,1,2.9,AA+
Deccan Polymers,Telecom,6914.51,1393.53,5.41,5.87,0.82,0.54,1.12,0.76,3.41,5.05,1931.41,17606.05,1.27,44.76,26.02,11456.1,1,7.1,BB+
Sahyadri Pharma,Telecom,4384.63,1492.07,24.54,15.21,0.62,10.06,2.49,1.1,10.97,12.64,13321.15,10.0,4.15,43.31,36.25,153695.66,1,1.2,AA+
Narmada Exports,FMCG,1982.82,-125.48,-1.78,1.35,2.95,1.22,1.02,0.6,0.59,-1.29,67.98,1429.21,0.59,36.33,11.29,10661.82,0,7.4,B-
Desh Exports,Power & Utilities,14406.7,11285.5,22.92,19.38,0.41,9.43,1.98,1.04,9.04,16.47,11442.96,28707.37,3.57,55.48,16.19,132384.07,0,3.1,AA
Shakti Polymers,Telecom,3974.66,-156.37,-11.14,-10.08,4.52,0.21,0.57,0.42,-3.51,-9.73,-861.63,13194.65,0.25,30.57,10.0,10.0,0,8.9,C
Anand Solutions,Chemicals,11185.76,1293.89,2.09,7.83,2.05,1.04,0.95,0.85,4.02,5.54,1295.32,10.0,0.89,13.1,10.82,17048.46,0,6.7,BB
Bharat Infra,Textiles,8615.71,2556.72,17.37,3.31,0.97,5.22,1.09,0.81,5.03,11.85,1374.99,20923.57,2.1,71.54,22.74,19380.54,1,4.6,BBB
Ganesh Corporation,Telecom,1378.23,1400.2,14.3,5.08,1.74,0.84,1.14,1.05,1.15,6.27,567.51,9022.95,1.27,48.21,21.46,2139.14,0,6.7,BB
Nav Polymers,Aviation,5470.4,2670.65,17.54,9.97,1.24,2.46,1.37,0.95,2.47,10.84,800.28,17281.06,0.74,51.03,15.92,10788.67,0,6.6,BB
Sahyadri Limited,Steel & Metals,3862.86,675.31,4.2,-3.37,2.96,0.6,0.64,0.45,1.42,2.61,-439.8,8930.75,1.09,28.23,11.01,5607.48,0,8.3,B-
Sagar Ventures,Aviation,10.0,15300.85,23.18,21.85,0.57,2.47,1.8,1.2,9.63,19.3,5650.82,24389.38,3.22,48.92,27.92,81114.05,0,4.4,A+
Ganga Solutions,Pharmaceuticals,13317.7,-1279.58,14.26,5.73,1.15,2.69,1.39,0.74,2.44,14.67,754.62,20003.98,2.28,58.97,31.95,24543.0,0,6.1,BBB
Shakti Holdings,Cement,60625.56,1139.58,21.83,18.79,0.37,14.86,2.17,1.63,14.37,17.27,12057.66,32789.48,2.33,55.15,54.44,103936.01,0,1.2,AA+
Narmada Steel,Pharmaceuticals,10.0,4539.37,19.33,7.42,1.36,4.39,1.16,0.82,5.38,13.71,401.28,17624.63,1.68,53.02,23.91,11811.75,0,4.6,BBB
Vivek Holdings,Infrastructure & Construction,42697.59,2859.52,20.72,18.06,0.56,11.8,2.48,2.44,8.76,11.52,4696.68,13556.18,2.83,58.94,60.79,192379.54,1,4.2,AA-
Shri Foods,Energy & Oil,11436.27,-265.04,20.27,2.48,0.9,4.12,1.37,0.95,2.64,10.97,4306.59,20239.61,1.38,33.03,15.9,25885.01,0,5.4,BBB
Himalaya Logistics,Power & Utilities,6994.93,-1421.52,17.1,5.31,1.48,2.59,1.1,1.04,9.72,13.25,2745.19,24306.22,0.92,34.53,10.0,45948.11,0,5.3,BBB
Radha Solutions,IT & Technology,32432.07,517.84,18.9,19.17,0.84,4.87,1.1,1.78,7.82,7.97,2302.94,8836.93,2.69,54.49,25.96,73311.4,1,4.3,A-
Vikram Limited,Textiles,11428.06,9090.65,12.18,5.29,0.79,3.25,0.88,1.07,1.19,11.49,67.75,15424.48,2.1,75.65,13.22,17745.24,0,4.3,BBB+
Ashoka Solutions,Aviation,4425.13,1859.25,8.05,10.75,2.05,1.19,1.06,0.64,4.2,2.08,-4.57,10084.54,1.4,59.26,29.04,11178.81,1,7.1,BB
Jai Ceramics,Cement,2277.5,-275.73,11.75,0.98,1.76,2.1,1.21,0.99,4.25,7.59,534.79,17077.62,1.02,39.25,38.95,9093.14,1,5.9,BB
Vindhya Chemicals,FMCG,25200.73,4520.54,18.84,8.64,1.61,5.03,1.48,0.97,6.79,8.29,1207.67,19360.4,0.93,57.93,14.37,12927.63,1,5.0,BBB+
Konkan Ventures,Power & Utilities,11563.47,2865.26,14.7,6.66,0.89,4.8,0.77,0.95,4.06,12.26,-117.73,14002.58,1.75,60.84,27.32,2247.68,0,5.7,BBB
Chanakya Ventures,Automobile,397.68,372.47,4.96,-0.16,4.66,0.79,0.99,0.49,1.79,6.48,23.61,11562.39,0.58,17.83,18.22,1615.0,0,8.9,B-
Chanakya Industries,Power & Utilities,29947.62,12275.39,34.85,15.43,0.47,6.32,1.38,1.53,12.09,19.22,8112.43,22243.09,1.96,62.6,44.42,218419.65,0,1.7,AA
Ganesh Pharma,Automobile,48731.92,11705.4,27.61,16.11,0.25,5.09,2.33,2.15,11.24,21.25,17076.85,25201.5,2.99,59.95,60.11,131793.43,0,2.1,AA
Parvati Holdings,Real Estate,44941.16,13168.91,24.69,20.67,0.03,10.09,2.16,1.05,13.02,15.1,8857.8,44185.38,4.81,63.74,47.71,90119.2,0,3.1,AA+
Anand Finance,Pharmaceuticals,7504.5,199.8,17.83,7.83,0.63,4.01,1.32,1.13,5.88,9.18,3639.12,14025.14,1.58,41.61,35.31,15791.41,0,6.4,BBB-
Vikram Steel,Power & Utilities,16703.06,-5644.48,25.22,10.63,0.54,4.82,1.63,1.75,8.4,20.13,7976.88,23361.54,2.49,58.74,41.85,79903.78,0,3.6,A-
Shakti Solutions,Chemicals,10920.2,892.83,5.46,1.58,1.66,2.53,1.46,0.53,2.1,5.93,1276.83,10718.89,1.07,22.23,21.87,7031.61,0,6.3,BB
Krishna Logistics,Automobile,26269.96,990.23,10.79,11.76,1.23,4.3,1.52,0.99,4.3,13.49,4592.21,33010.26,1.21,63.66,20.42,8674.56,0,5.7,BBB-
Vindhya Technologies,Cement,39728.36,6350.76,24.19,12.56,0.63,4.58,1.96,1.27,4.56,18.39,4078.9,51881.79,1.68,49.83,23.6,20737.32,0,4.9,A
Kiran Enterprises,Infrastructure & Construction,4430.11,122.9,-2.31,-4.16,2.07,0.68,0.86,0.26,0.86,7.11,686.85,10.0,0.6,22.19,12.87,10.0,1,7.5,B
Durga Foods,Pharmaceuticals,7384.27,2474.17,9.94,5.2,1.35,0.9,1.0,1.24,3.95,7.82,214.18,25112.51,0.79,20.06,13.53,19726.95,0,6.1,BB+
Indus Ventures,Cement,17864.42,118.37,20.39,12.65,1.04,7.82,1.72,1.49,6.25,17.15,3971.07,34891.88,3.1,52.83,41.53,2888.03,0,3.3,A+
Konkan Solutions,Media & Entertainment,4021.26,5669.11,18.13,17.24,0.84,8.06,1.92,1.11,8.33,17.92,10773.61,26015.35,1.48,31.39,28.08,10.0,0,4.0,A
Himalaya Chemicals,Banking & Financial Services,18557.99,2506.59,25.14,7.55,0.49,4.47,1.85,1.52,10.98,19.18,6003.09,43307.83,2.26,30.15,23.95,25812.18,0,2.7,A
Meera Infra,Media & Entertainment,38472.26,18340.12,35.29,9.1,0.24,7.63,2.58,1.52,8.83,20.87,16738.34,21774.88,2.98,60.7,38.5,85539.21,0,3.2,AA
Meera Textiles,Textiles,56247.01,21249.91,33.02,17.84,0.4,13.12,2.43,2.64,11.93,20.79,12742.54,20810.82,3.54,60.94,49.82,169263.27,0,2.1,AA
Prem Corporation,FMCG,3019.44,-63.03,11.64,-0.62,3.27,1.14,0.96,0.58,-0.18,-0.87,718.54,12911.69,1.08,55.77,10.0,4058.76,0,6.6,B-
Param Holdings,Cement,26661.36,10143.78,17.5,10.7,0.75,10.22,1.07,1.48,7.37,12.44,4888.5,38010.64,3.38,54.23,45.11,88064.99,0,3.1,A-
Param Capital,Energy & Oil,38899.95,9746.4,15.92,5.72,0.19,6.14,1.92,0.89,10.62,15.61,11397.81,33558.04,1.95,57.5,40.04,33571.29,0,3.6,A
Vijay Agri,Steel & Metals,2995.78,2096.71,8.37,9.17,0.53,2.11,1.51,0.62,2.76,5.79,389.74,18446.23,0.81,40.45,22.13,6709.44,0,7.3,BB+
Himalaya Pharma,Cement,22302.57,917.63,8.53,5.14,1.42,3.83,1.64,0.92,3.15,13.76,1503.79,22238.58,1.03,41.16,34.09,9255.88,1,3.1,BBB+
Ganesh Technologies,Textiles,2321.83,340.03,11.97,-2.51,3.04,1.53,0.76,0.54,1.21,-2.93,63.47,22208.9,0.93,32.65,12.68,4452.26,0,7.1,B-
Priya Engineering,Automobile,15673.6,2253.08,12.71,1.47,1.19,1.74,1.17,0.45,3.74,10.86,1145.88,9239.47,0.96,46.2,16.77,10658.25,0,7.4,BB
Vivek Exports,Power & Utilities,3678.77,3443.24,13.18,7.7,1.55,4.67,1.82,1.11,4.78,10.24,-622.56,36076.82,1.64,54.07,30.79,1320.27,0,6.2,BBB+
Vindhya Limited,Power & Utilities,35227.84,4887.36,19.37,16.34,1.08,3.07,2.45,1.64,7.62,10.23,10216.03,35146.41,1.63,49.22,69.51,50495.05,1,2.7,A
Vikram Power,Chemicals,1863.26,-160.9,-6.74,-23.01,10.76,-1.42,0.42,0.23,-6.47,-26.81,-912.76,8320.37,-0.15,0.0,10.0,268.84,1,10.0,D
Shakti Engineering,Energy & Oil,14985.05,1627.59,17.71,5.51,1.98,2.19,0.83,0.99,-0.67,5.24,813.76,8102.38,1.06,67.75,26.83,3885.03,1,5.5,BB+
Vivek Foods,Telecom,3057.49,-174.92,-16.8,-9.5,4.66,0.59,0.64,0.31,0.96,-7.97,87.82,6223.22,0.54,10.53,10.0,33.38,0,9.5,C
Nav Engineering,Telecom,34691.85,19027.79,34.1,15.89,0.7,11.59,2.26,1.9,16.52,15.45,5244.79,9785.03,4.79,69.29,33.94,10.0,0,2.9,AA
Vijay Steel,Textiles,3799.83,463.12,2.91,4.04,2.77,1.29,0.93,0.68,1.69,-0.71,311.92,18332.07,1.09,41.24,10.0,971.71,1,7.7,B+
Vikram Textiles,Aviation,13777.64,752.54,9.35,1.7,0.01,3.34,2.1,1.45,3.04,11.45,-136.24,4254.69,1.2,45.29,22.18,23790.53,0,4.7,BBB
Bharat Pharma,Telecom,50905.05,6343.31,16.93,10.0,0.63,8.99,1.26,1.57,7.25,24.64,7527.07,30178.07,4.89,48.45,43.14,133208.07,0,2.8,AA
Desh Engineering,Media & Entertainment,1703.71,4108.07,12.57,9.05,1.57,4.3,1.5,1.16,6.38,15.49,2438.71,21967.48,2.27,42.12,10.65,27398.45,0,4.0,BBB
Krishna Infra,Cement,20005.42,5862.27,6.85,11.07,0.19,3.02,1.95,0.92,5.18,13.29,-589.65,20865.14,1.83,70.35,11.64,14276.91,1,4.2,BBB-
Vindhya Agri,Telecom,125096.11,24319.82,26.11,17.41,0.18,12.63,2.04,1.87,12.92,18.21,19395.42,16919.12,4.17,60.85,98.17,412043.33,0,1.0,AAA
Krishna Corporation,Banking & Financial Services,10930.74,12256.74,18.01,12.96,1.4,5.98,2.08,1.48,6.53,19.24,2601.2,48098.2,2.33,46.26,18.94,22272.22,0,1.6,A-
Aarav Finance,Cement,6833.34,793.62,13.16,5.27,1.38,1.63,1.09,1.1,1.77,4.84,122.85,1179.61,1.29,44.84,28.26,14248.45,0,6.4,BB-
Meera Industries,Real Estate,25310.47,1648.98,23.48,12.47,1.0,3.72,1.94,1.37,8.35,12.27,10757.3,58754.61,1.91,60.65,10.0,70058.3,1,3.1,A+
Raj Capital,Media & Entertainment,6365.56,6529.75,24.19,4.57,0.69,4.97,2.43,1.45,5.06,13.11,12224.42,38715.48,2.07,48.8,29.18,33860.54,0,3.0,A-
Vijay Polymers,Power & Utilities,55005.59,5784.85,19.48,12.56,1.47,6.02,2.24,1.09,7.35,15.05,2903.47,24944.23,3.51,42.4,32.0,71262.01,0,4.4,A-
Jai Enterprises,Banking & Financial Services,31311.9,6756.95,9.96,10.51,0.91,9.49,2.03,1.69,4.98,14.49,10882.99,14684.0,3.57,60.8,35.3,40138.92,0,4.9,A+
Deccan Ventures,Cement,5895.59,519.22,3.35,1.11,2.63,1.2,1.05,0.48,-1.2,3.34,-324.17,9410.71,0.67,42.38,23.9,10.0,1,7.3,B
Priya Agri,Power & Utilities,9739.04,68.13,13.99,4.12,1.76,0.45,1.17,0.97,2.65,10.52,1479.74,9589.05,1.68,42.63,18.4,8593.89,0,4.4,BB
Desh Technologies,Infrastructure & Construction,45362.34,4452.37,34.76,22.34,0.67,9.28,1.7,1.34,16.83,15.23,-3133.57,34361.99,5.3,74.59,57.58,172091.18,0,1.0,AA
Saraswati Steel,Telecom,816.73,-251.37,-19.08,-26.45,4.11,-1.5,0.68,0.39,-12.01,-27.18,-1090.43,11212.87,0.36,2.71,10.0,588.66,1,10.0,D
Kaveri Logistics,Chemicals,10108.05,318.28,7.69,1.25,1.99,1.14,1.03,0.63,-0.32,1.15,63.23,5260.45,0.88,41.27,17.88,855.94,1,8.7,B+
Vijay Ceramics,Cement,27039.07,7635.59,19.12,16.53,1.15,8.23,1.81,0.99,12.81,18.43,4173.36,49357.28,2.37,68.93,49.74,22355.52,0,4.1,A+
Sahyadri Industries,Real Estate,21074.55,606.16,15.73,4.05,1.06,1.9,1.15,0.59,3.47,9.87,942.92,10581.56,1.16,41.94,19.74,14658.98,0,5.4,BB-
Jai Holdings,Infrastructure & Construction,35941.97,15162.15,31.74,21.19,0.85,10.39,2.58,1.02,12.29,13.7,10624.76,58358.06,4.1,49.36,48.12,68975.49,0,4.2,AA
Indus Pharma,Pharmaceuticals,1440.09,-361.79,-21.13,-27.49,11.63,-0.85,0.05,0.44,-11.27,-26.57,-56.65,10327.01,0.21,13.76,10.0,498.08,0,9.0,D
Kiran Technologies,FMCG,7719.76,5442.04,12.71,6.77,1.05,3.42,0.93,0.87,5.46,11.67,4584.39,42072.71,2.56,58.98,22.51,10653.96,0,5.5,BBB-
Arun Infra,Media & Entertainment,23219.38,4246.17,14.39,10.36,1.7,4.56,1.39,0.79,3.28,8.96,2962.74,26237.65,1.09,41.95,26.43,6504.8,0,4.8,BBB-
Radha Holdings,Cement,31914.49,14372.44,27.35,12.61,0.45,11.4,1.82,0.94,6.39,16.33,3089.49,17827.34,5.46,44.21,37.76,227938.27,0,2.2,AA+
Saraswati Enterprises,Power & Utilities,3529.35,550.28,11.78,-0.59,1.89,0.31,0.92,0.39,0.3,-0.63,522.24,7932.83,0.9,10.94,12.79,10.0,0,9.3,B
Parvati Limited,IT & Technology,117286.98,22459.05,52.39,15.42,0.39,7.34,2.65,1.33,14.77,22.28,15231.02,23736.46,4.15,64.61,71.41,51677.88,0,1.5,AAA
Shri Logistics,Media & Entertainment,41342.76,13895.57,18.92,10.73,0.54,6.66,1.68,1.2,7.77,17.21,3745.08,16417.63,3.15,15.69,24.76,15460.72,0,3.1,A+
Meera Solutions,Automobile,35982.1,13659.64,21.43,14.39,0.52,8.73,1.99,1.2,7.54,18.24,12839.6,4862.12,4.56,65.64,56.62,117993.35,0,4.2,AA
Ashoka Ventures,Media & Entertainment,6492.39,363.45,3.86,9.27,2.86,1.26,0.97,0.74,4.84,3.14,-379.97,37675.14,1.29,48.36,16.36,10794.71,0,5.8,BB
Himalaya Ceramics,Infrastructure & Construction,52628.95,-1896.24,23.18,14.54,0.44,8.35,1.7,0.87,11.43,16.8,2748.31,22750.4,3.51,53.39,10.0,140966.05,0,2.6,AA-
Shakti Enterprises,Aviation,1575.19,263.95,9.61,2.59,3.4,1.17,0.98,0.33,0.52,2.1,567.1,7950.17,0.87,38.39,18.95,2665.64,1,6.1,B
Vijay Capital,Aviation,10.0,-1566.69,18.93,10.02,1.56,2.69,1.23,0.97,7.89,16.08,3928.86,23972.24,2.47,44.93,20.09,18064.67,0,4.9,BBB-
Shri Limited,Chemicals,35303.68,36300.09,33.81,27.15,0.05,24.51,1.86,1.4,12.14,28.54,20030.16,13049.37,3.81,50.99,77.65,279863.93,0,1.8,AAA
Shakti Finance,Aviation,10.0,9065.0,33.25,18.15,0.18,9.48,3.37,2.23,15.5,18.83,19586.59,4297.88,4.81,41.78,23.64,167768.82,0,1.0,AAA
Desh Infra,Cement,18910.49,15517.42,35.62,16.81,0.64,8.99,1.94,1.63,9.03,20.9,1362.37,32679.84,3.84,55.85,17.36,41212.68,0,2.3,AA+
Sagar Solutions,Textiles,17783.98,1240.94,14.85,3.88,1.24,3.94,1.5,0.77,4.32,12.61,2119.41,16552.34,2.75,36.59,34.8,2679.79,0,5.6,BBB
Saraswati Solutions,Steel & Metals,5448.17,226.02,2.12,2.15,2.12,1.14,1.17,0.5,2.65,3.56,753.21,10989.21,0.84,32.78,10.53,116.45,1,6.2,BB
Ganesh Power,IT & Technology,10.0,4695.24,24.57,8.95,1.25,4.29,2.0,1.66,9.13,9.5,2230.13,45551.06,2.16,63.71,26.84,54243.12,0,3.0,A+
Sahyadri Polymers,FMCG,3623.47,1380.48,10.37,5.39,1.51,1.26,1.2,0.59,4.62,6.66,604.32,20621.76,1.18,18.79,10.0,14346.25,0,5.2,BB-
Ganga Enterprises,Chemicals,58802.8,10085.19,19.75,11.42,0.7,4.1,1.78,1.65,15.74,20.22,5923.85,40352.24,2.44,60.65,49.32,47133.07,0,2.1,AA+
Sahyadri Finance,Chemicals,11475.71,-271.68,11.34,2.76,2.49,1.96,1.46,0.9,2.81,9.36,1276.44,20719.1,0.51,28.24,29.07,464.32,0,7.1,BB
Vivek Ceramics,FMCG,1822.74,-298.33,2.72,7.23,1.81,0.6,0.7,0.78,0.64,0.5,624.04,16635.95,0.57,16.65,18.95,3041.97,0,6.1,B-
Kaveri Chemicals,FMCG,2419.81,208.41,1.82,0.7,1.25,1.63,1.57,0.75,2.75,8.53,657.61,20001.53,1.28,43.72,40.13,13466.76,0,6.8,BB
Laxmi Solutions,Cement,7082.63,3892.5,8.12,4.68,1.34,4.7,1.55,1.21,5.75,11.52,1593.35,29756.02,2.31,47.24,22.83,43871.09,0,5.1,BBB-
Param Industries,Textiles,10421.13,1121.75,6.72,5.13,1.78,3.47,1.35,0.68,4.09,7.92,1585.66,10755.46,1.26,40.61,18.47,2688.81,0,6.8,BB-
Jai Power,Textiles,131408.94,23879.69,27.12,23.95,0.15,20.42,3.45,2.63,15.13,19.57,18982.69,18040.55,4.16,72.66,66.6,110777.7,0,1.6,AAA
Radha Industries,IT & Technology,22647.42,8188.22,33.93,23.3,0.7,13.96,2.81,1.82,11.99,20.16,15416.09,13100.82,4.53,72.59,38.9,81205.13,0,2.0,AA-
Narmada Ventures,Cement,17079.53,22034.03,22.29,16.07,0.38,13.83,2.63,1.5,7.46,16.61,14420.92,24263.63,3.91,60.12,53.38,97488.45,0,1.7,AA
Vikram Chemicals,Telecom,40538.51,2432.28,16.02,9.7,1.04,3.51,1.4,0.77,5.88,6.05,5654.88,29515.65,2.12,27.16,16.07,40840.18,0,5.6,BBB+
Priya Steel,Chemicals,13202.19,2155.75,14.15,5.57,1.29,2.8,0.87,0.56,1.09,9.93,765.55,17008.58,1.2,26.24,12.63,4277.44,0,6.1,BB+
Bharat Capital,FMCG,4186.94,4155.35,18.3,4.12,1.08,5.73,1.11,1.11,5.21,14.28,3031.84,14824.45,1.83,48.98,23.08,213.33,1,5.9,BBB
Vikram Polymers,Media & Entertainment,867.43,294.75,4.1,-2.47,1.01,0.66,0.83,0.38,1.27,7.65,452.63,10986.51,0.34,45.74,12.88,4060.88,0,6.8,B+
